Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Albania,3074579,34.1,31.2,14.5,5.2,6.0,5.5,2.6,0.9
Algeria,43576691,40.0,30.0,15.0,4.25,6.6,2.3,1.1,0.75
Argentina,45479118,48.9,31.54,8.0,2.45,4.9,3.16,0.8,0.25
Armenia,3021324,29.0,46.3,12.0,5.6,2.0,3.7,1.0,0.4
Australia,25466459,38.0,32.0,12.0,4.0,7.0,6.0,2.0,1.0
Austria,8859449,30.0,37.0,12.0,5.0,6.0,7.0,2.0,0.45
Azerbaijan,10205810,29.8,30.0,21.1,9.0,3.3,3.4,2.4,1.0
Bahrain,1505003,48.48,19.35,22.61,3.67,3.27,1.33,1.04,0.25
Bangladesh,164098818,29.21,26.3,33.12,9.59,0.53,0.48,0.6,0.17
Belarus,9441842,32.3,30.6,15.3,6.8,5.7,5.4,2.7,1.2
Belgium,11720716,38.0,34.0,8.5,4.0,7.0,6.0,1.5,1.0
Bhutan,857423,38.15,29.27,23.86,8.41,0.06,0.04,0.04,0.01
Bolivia,11639909,51.53,29.45,10.11,1.15,4.39,2.73,0.54,0.1
Bosnia and Herzegovina,3835586,31.0,36.0,12.0,6.0,5.0,7.0,2.0,1.0
Brazil,211715973,36.0,34.0,8.0,2.5,9.0,8.0,2.0,0.5
Bulgaria,6966899,28.0,37.4,12.8,6.8,5.0,6.6,2.2,1.2
Burkina Faso,21382659,39.94,20.79,26.34,5.17,3.36,1.75,2.22,0.43
Cambodia,16926984,46.7,27.2,18.5,4.9,1.3,0.8,0.5,0.1
Cameroon,27744989,46.83,24.15,21.06,4.29,1.79,0.92,0.8,0.16
Canada,37694085,39.0,36.0,7.6,2.5,7.0,6.0,1.4,0.5
Chile,18186770,56.62,27.16,8.78,1.9,3.29,1.63,0.49,0.13
China,1397897720,48.0,28.0,19.0,5.6,0.3,0.4,0.3,0.1
Colombia,49084841,56.3,26.11,7.28,1.47,5.13,2.7,0.7,0.31
Costa Rica,5097988,49.7,28.5,12.4,3.0,3.4,1.9,0.9,0.2
Croatia,4227746,29.0,36.0,15.0,5.0,5.0,6.0,3.0,1.0
Cuba,11059062,45.8,33.5,10.2,2.9,3.6,2.8,1.0,0.2
Cyprus,1266676,35.22,40.35,11.11,4.72,3.85,3.48,0.87,0.4
Czech Republic,10702498,27.0,36.0,15.0,7.0,5.0,6.0,3.0,1.0
Democratic Republic of the Congo,101780263,59.5,21.3,15.2,2.4,1.0,0.3,0.2,0.1
Denmark,5869410,35.0,37.0,8.0,4.0,6.0,7.0,2.0,1.0
